addr,covered,name,price,time,type_home
门头沟区-西长安街沿线与六环交汇处西南,总建面 22.05万 ㎡ 2017-12-10开盘 浏览,中国铁建万科翡翠长安,均价 76888 元/㎡,2017-12-10开盘 浏览,综合体商铺 品牌地产
门头沟区-西长安街沿线与六环交汇处西南,2017年12月24日开盘 浏览,中国铁建万科翡翠长安,均价 57000 元/㎡,,普通住宅 品牌地产
房山区-窦店镇京港澳高速公路提香草堂出口往西侧1.4千米,3居 建面 138~176 ㎡ 2016年08月10日开盘 浏览,北京城建琨廷,均价 32000 元/㎡,2016年08月10日开盘 浏览,普通住宅 品牌地产 交通便利
昌平区-昌平霍营北侧300米,3居 建面 85~142 ㎡ 2017年07月23日开盘 浏览,首开国风美唐三期,均价 59000 元/㎡,2017年07月23日开盘 浏览,普通住宅 品牌地产 交通便利
-武清新城京津公路东运通广场北侧（武清客运站对面）,总建面 24万 ㎡ 2017年05月23日开盘 浏览,泽信金汇湾,均价 16800 元/㎡,2017年05月23日开盘 浏览,综合体商铺 品牌地产 交通便利
环京-保定市-涿州新兴产业示范区涿州高铁东站西南方向,2016年09月23日开盘 浏览,华融现代城,均价 25000 元/㎡,,普通住宅 品牌地产 交通便利
环京-廊坊市-迎宾大道与新中西街交叉口东南角,2016-04-09开盘 浏览,城市之光,均价 17000 元/㎡,,普通住宅 品牌地产 交通便利
环京-廊坊市-安稳道2号华昱骏景售楼处,总建面 7.71万 ㎡ 2017年06月05日开盘 浏览,华昱昱公馆,均价 9000 元/㎡,2017年06月05日开盘 浏览,综合体商铺 品牌地产 交通便利
-103国道大岛酒楼东行800米武宁路与杨崔路交口,住宅2017-11-01开盘 浏览,永泰郦郡,均价 16500 元/㎡,,普通住宅 别墅 品牌地产 交通便利
通州区-永顺镇北关东南角,总建面 31万 ㎡ 2017年03月开盘 浏览,世界侨商中心,均价 80000 元/㎡,2017年03月开盘 浏览,综合体商铺 品牌地产 交通便利
京外旅居-河北省秦皇岛市黄金海岸三维路与二经路交界处东南角,1居 建面 53~67 ㎡ 开盘时间待定开盘 浏览,海公馆,均价 9000 元/㎡,开盘时间待定开盘 浏览,公寓 交通便利 旅游地产
大兴区-大兴区义和庄,总建面 40万 ㎡ 2017-06-01开盘 浏览,万科天地,均价 56000 元/㎡,2017-06-01开盘 浏览,综合体商铺 品牌地产 交通便利
-天津市武清区雍华道与翠通路交口,总建面 1.5万 ㎡ 2016-12-30开盘 浏览,富力尚悦居,均价 34000 元/㎡,2016-12-30开盘 浏览,综合体商铺 品牌地产 交通便利
大兴区-庞各庄龙熙瓦德拉玛庄园顺景路8号售楼处,总建面 14.44万 ㎡ 2015年06月30日开盘 浏览,龙熙瓦德拉玛庄园,均价 36000 元/㎡,2015年06月30日开盘 浏览,写字楼 品牌地产 交通便利
环京-廊坊市-廊霸路与翠林路交叉口,预计2018年开盘 浏览,中科嘉会城,均价 16500 元/㎡,,普通住宅 品牌地产 交通便利
环京-廊坊市-华祥路28号,2014-08-12开盘 浏览,宏泰美树,均价 24000 元/㎡,,普通住宅 品牌地产 交通便利
环京-张家口市-崇礼西湾子镇张承高速崇礼北出口,总建面 110万 ㎡ 2017年07月22日开盘 浏览,奥雪小镇,均价 22000 元/㎡,2017年07月22日开盘 浏览,社区商铺 品牌地产 交通便利
-武清区京津公路华北城佳汇摩尔营销中心,总建面 16.91万 ㎡ 2017-08-23开盘 浏览,佳汇摩尔,均价 19000 元/㎡,2017-08-23开盘 浏览,综合体商铺 品牌地产 交通便利
通州区-新华北路东侧与永顺东街交汇处,总建面 18.7万 ㎡ 2015-11-07开盘 浏览,保利大都汇,均价 87000 元/㎡,2015-11-07开盘 浏览,综合体商铺 品牌地产 交通便利
京外旅居-岭前街以南，规划路以东,总建面 16.04万 ㎡ 2014-06-28开盘 浏览,兴龙香玺海,均价 30000 元/㎡,2014-06-28开盘 浏览,综合体商铺 品牌地产 交通便利
环京-保定市-京昆高速涞水西出口向东800米,2居/3居/4居 建面 85~180 ㎡ 开盘时间待定开盘 浏览,北京恒大京南半岛,均价 13000 元/㎡,开盘时间待定开盘 浏览,普通住宅 别墅 交通便利 旅游地产
天津市-下朱庄街天和路西侧,2017-12-15开盘 浏览,保利梧桐语,均价 13000 元/㎡,,普通住宅 别墅 品牌地产 交通便利
密云县-密云区溪翁庄镇密西路18号,2018-07-22开盘 浏览,奥园北京源墅,均价 20000 元/㎡,,普通住宅 品牌地产 交通便利
亦庄开发区-经海一路与科创十二街交汇处向东200米,总建面 20.48万 ㎡ 2018-06-25开盘 浏览,北京经开壹中心,均价 28000 元/㎡,2018-06-25开盘 浏览,写字楼 品牌地产 交通便利
昌平区-北五环外紧邻立汤路，北七家建材城向北第一个路口200米路东,4居/5居及以上 建面 498~498 ㎡ 2013年07月31日开盘 浏览,温哥华森林,均价 48000 元/㎡,2013年07月31日开盘 浏览,别墅 品牌地产 交通便利
房山区-长阳镇京良路西营路口向北900米,2居/3居 建面 82~114 ㎡ 2017年04月24日开盘 浏览,长阳光和作用,均价 48000 元/㎡,2017年04月24日开盘 浏览,普通住宅 品牌地产 交通便利
石景山区-八大处公园西南,2017-10-01开盘 浏览,远洋天著春秋,均价 110000 元/㎡,,普通住宅 品牌地产 交通便利
平谷区-新平南路与林荫南街交汇处向西100米,2居 建面 125~133 ㎡ 2017年02月01日开盘 浏览,都丽华府,均价 28800 元/㎡,2017年02月01日开盘 浏览,普通住宅 品牌地产 交通便利
门头沟区-长安街西沿线，距阜石路1.8公里，距莲石路1.5公里,3居/4居/5居及以上 建面 126~447 ㎡ 住宅预计2018年01月开盘 浏览,华润西山墅,均价 46000 元/㎡,住宅预计2018年01月开盘 浏览,普通住宅 别墅 品牌地产 交通便利
房山区-房山区良乡大学向东,3居/4居 建面 131~290 ㎡ 2017年05月01日开盘 浏览,五矿名品,均价 55000 元/㎡,2017年05月01日开盘 浏览,别墅 品牌地产 交通便利
朝阳区-大屯路222号院,3居/4居 建面 119~179 ㎡ 2016年03月1日开盘 浏览,八斗,均价 120000 元/㎡,2016年03月1日开盘 浏览,普通住宅 品牌地产
丰台区-马家堡东路168号,2018-01-01开盘 浏览,上海建筑,均价 65500 元/㎡,,普通住宅 品牌地产 交通便利
房山区-良乡大学城西站,3居/4居 建面 108~138 ㎡ 2017-03-01开盘 浏览,天恒水岸壹号,均价 52000 元/㎡,2017-03-01开盘 浏览,普通住宅 品牌地产 交通便利
顺义区-顺义顺平路燕京桥M15号线石门站南1000米,2018-03-17开盘 浏览,中建国际城,均价 40000 元/㎡,,普通住宅 品牌地产 交通便利
平谷区-马昌营镇密三路管庄路口,3居 建面 99~130 ㎡ 2017-03-31开盘 浏览,紫贵御园,均价 29000 元/㎡,2017-03-31开盘 浏览,普通住宅 交通便利
房山区-北京市房山区良乡,总建面 21万 ㎡ 2016年09月27日开盘 浏览,首创紫悦台,均价 42000 元/㎡,2016年09月27日开盘 浏览,综合体商铺 品牌地产 交通便利
大兴区-京开高速西红门出口西行1000米北侧,总建面 18.69万 ㎡ 2016-10-01开盘 浏览,嘉悦广场,均价 40000 元/㎡,2016-10-01开盘 浏览,写字楼 品牌地产 交通便利
大兴区-京开高速西红门出口西行1000米北侧,总建面 18.69万 ㎡ 2016-10-01开盘 浏览,嘉悦广场,均价 90000 元/㎡,2016-10-01开盘 浏览,综合体商铺 品牌地产 交通便利
大兴区-西红门站往东800米,4居 建面 335~520 ㎡ 2017年12月03日开盘 浏览,鸿坤林语墅,均价 80000 元/㎡,2017年12月03日开盘 浏览,别墅 品牌地产 交通便利
昌平区-北七家立汤路与定泗路交汇东南角,3居 建面 119~138 ㎡ 2017年09月01日开盘 浏览,望都新地,均价 43800 元/㎡,2017年09月01日开盘 浏览,普通住宅 品牌地产 交通便利
朝阳区-朝阳京承高速与北四环路交接处以东,2016年09月11日开盘 浏览,湖光壹号,均价 91500 元/㎡,,普通住宅 品牌地产
顺义区-顺义区站前街3号院1号楼,总建面 8.23万 ㎡ 2015年11月20日开盘 浏览,顺鑫寰宇中心,均价 28000 元/㎡,2015年11月20日开盘 浏览,综合体商铺 品牌地产 交通便利
顺义区-顺义区站前街3号院1号楼,总建面 8.23万 ㎡ 2015年11月20日开盘 浏览,顺鑫寰宇中心,均价 30000 元/㎡,2015年11月20日开盘 浏览,写字楼 品牌地产 交通便利
朝阳区-东坝中街与单店北街交汇处西北侧,4居/5居及以上 建面 271~338 ㎡ 2016年05月01日开盘 浏览,恒大华府,均价 110000 元/㎡,2016年05月01日开盘 浏览,普通住宅 品牌地产
顺义区-顺平路566号航港大厦南侧,总建面 17.33万 ㎡ 2017年03月01日开盘 浏览,航城广场,均价 35000 元/㎡,2017年03月01日开盘 浏览,综合体商铺 品牌地产 交通便利
顺义区-顺平路566号航港大厦南侧,总建面 17.33万 ㎡ 2017年03月01日开盘 浏览,航城广场,均价 23000 元/㎡,2017年03月01日开盘 浏览,写字楼 品牌地产 交通便利
朝阳区-紫玉东路1号(亚运村正北1.5公里处),4居/5居及以上 建面 506~571 ㎡ 2013年12月18日开盘 浏览,紫玉山庄,均价 100000 元/㎡,2013年12月18日开盘 浏览,别墅 品牌地产 交通便利
房山区-房山周口店镇政府东,2017年12月24日开盘 浏览,天恒摩墅,均价 29555 元/㎡,,别墅 品牌地产 交通便利
昌平区-昌平未来科技城,总建面 25.79万 ㎡ 2017年04月01日开盘 浏览,绿地中央广场,均价 32000 元/㎡,2017年04月01日开盘 浏览,写字楼 品牌地产 交通便利
昌平区-常兴庄组团北部地区B地块居住项目,4居/5居及以上 建面 342~397 ㎡ 2017-09-05开盘 浏览,金科天玺,均价 50000 元/㎡,2017-09-05开盘 浏览,别墅 品牌地产 交通便利
顺义区-燕京街与通顺路交汇口东,2018年02月08日开盘 浏览,北京城建北京合院,均价 45000 元/㎡,,普通住宅 别墅 品牌地产 交通便利
丰台区-西二环莱户营桥东南侧,2017-12-06开盘 浏览,中国玺,均价 97000 元/㎡,,普通住宅 品牌地产 交通便利
房山区-阳光北大街与多宝路交汇处西南,4居 建面 92~330 ㎡ 别墅 2016年09月08日开盘 浏览,观山源墅,均价 45000 元/㎡,别墅 2016年09月08日开盘 浏览,别墅 普通住宅 品牌地产 交通便利
房山区-长阳镇城铁篱笆房站北侧500米,2居/3居 建面 80~103 ㎡ 2017-11-03开盘 浏览,五和万科长阳天地,均价 55000 元/㎡,2017-11-03开盘 浏览,普通住宅 品牌地产 交通便利
环京-廊坊市-霸州国际温泉公园南侧500米,5居及以上 建面 209~392 ㎡ 2016年04月01日开盘 浏览,塞纳庄园,均价 27000 元/㎡,2016年04月01日开盘 浏览,别墅 品牌地产 交通便利
丰台区-丰台区西南四环总部基地核心区丰台万达广场东侧400米,总建面 16.4万 ㎡ 2017-09-10开盘 浏览,丰台金茂广场,均价 55000 元/㎡,2017-09-10开盘 浏览,写字楼 品牌地产 交通便利
环京-廊坊市-东燕郊开发区燕顺路(815总站北侧500米),总建面 300万 ㎡ 2017年05月15日开盘 浏览,首尔甜城MOBO公寓,均价 65000 元/㎡,2017年05月15日开盘 浏览,社区商铺 品牌地产 交通便利
环京-保定市-西南郊琉璃河镇南京都旅游大道1号,4居 建面 292~297 ㎡ 2017年05月01日开盘 浏览,京都颐和城,均价 18000 元/㎡,2017年05月01日开盘 浏览,别墅 品牌地产 交通便利
环京-廊坊市-京哈高速香河出口东1公里,总建面 21.91万 ㎡ 2015年03月10日开盘 浏览,荣盛白鹭岛,均价 13000 元/㎡,2015年03月10日开盘 浏览,综合体商铺 品牌地产 交通便利
通州区-运河西大街，果园环岛向东两公里,2018-02-28开盘 浏览,合生滨江帝景二期,均价 75000 元/㎡,,普通住宅 品牌地产 交通便利
环京-张家口市-张家口市崇礼区万龙路口南,1居/2居 建面 59~94 ㎡ 2018年03月10日开盘 浏览,富龙四季小镇,均价 19000 元/㎡,2018年03月10日开盘 浏览,普通住宅 品牌地产 交通便利
大兴区-大兴地铁4号线生物医药基地站南,总建面 29.37万 ㎡ 2017年11月11日开盘 浏览,金科天宸荟,均价 60000 元/㎡,2017年11月11日开盘 浏览,综合体商铺 品牌地产 交通便利
环京-保定市-范阳路与教军场街交汇处东北角,4居 建面 168~170 ㎡ 2016年10月01日开盘 浏览,金品时代,均价 19800 元/㎡,2016年10月01日开盘 浏览,普通住宅 品牌地产 交通便利
环京-承德市-兴隆县人民医院东侧300米，县政府新址南侧150米,2018-06-02开盘 浏览,中冶兴隆新城红石郡,均价 10000 元/㎡,,普通住宅 品牌地产 交通便利
大兴区-南海子公园北侧,5居及以上 建面 311~498 ㎡ 2014年12月28日开盘 浏览,紫禁壹號院,均价 110000 元/㎡,2014年12月28日开盘 浏览,别墅 品牌地产 交通便利
环京-张家口市-河北省张家口市下花园区,3居 建面 103~117 ㎡ 2017年12月开盘 浏览,京西溪源,均价 11800 元/㎡,2017年12月开盘 浏览,普通住宅 品牌地产 交通便利 非毛坯
环京-廊坊市-河北省廊坊市霸州市霸州经济开发区益津北路,2居/3居 建面 78~125 ㎡ 2017年10月29日开盘 浏览,霸州铂悦山,均价 10900 元/㎡,2017年10月29日开盘 浏览,普通住宅 交通便利 优惠楼盘
环京-廊坊市-河北省霸州市跨106线立交桥北500米路东,2居/3居 建面 68~93 ㎡ 顺销开盘 浏览,荣盛阿尔卡迪亚霸州温泉城,均价 10000 元/㎡,顺销开盘 浏览,普通住宅 品牌地产 交通便利
大兴区-芳林路4号院,2016年04月30日开盘 浏览,远洋天著三期,均价 86000 元/㎡,,别墅 品牌地产 交通便利
环京-保定市-冠云路与火炬南街交叉口南行300米,2居/3居 建面 87~136 ㎡ 2015-11-05开盘 浏览,天地新城启承,均价 15000 元/㎡,2015-11-05开盘 浏览,普通住宅 品牌地产 交通便利
环京-廊坊市-五一路与绣水街交叉口（好百年南门对面）,2居 建面 90 ㎡ 2016年07月01日开盘 浏览,御湖湾,均价 22000 元/㎡,2016年07月01日开盘 浏览,普通住宅 品牌地产 交通便利
环京-保定市-京港澳高速影视城出口影视城路东行,总建面 31.62万 ㎡ 2017年06月24日开盘 浏览,九里京城,均价 15000 元/㎡,2017年06月24日开盘 浏览,综合体商铺 品牌地产 交通便利
"朝阳区-平房乡姚家园村,姚家园路与青年路交叉路口西南",总建面 35万 ㎡ 2014年03月21日开盘 浏览,达美中心广场,均价 100000 元/㎡,2014年03月21日开盘 浏览,写字楼 品牌地产 交通便利
环京-保定市-G4京港澳高速涿州出口出向东南1.5公里,2居/3居/4居 建面 89~137 ㎡ 开盘时间暂定开盘 浏览,鸿坤理想湾,均价 17000 元/㎡,开盘时间暂定开盘 浏览,普通住宅
房山区-良乡拱辰街道(瑞雪春堂东侧）,总建面 6006 ㎡ 2017年06月23日开盘 浏览,恒大国际广场,均价 33000 元/㎡,2017年06月23日开盘 浏览,综合体商铺 品牌地产 交通便利
门头沟区-西长安街沿线 地铁S1线上岸站,总建面 9.67万 ㎡ 2017-12-24开盘 浏览,长安天街,均价 35000 元/㎡,2017-12-24开盘 浏览,写字楼 品牌地产 交通便利
门头沟区-西长安街沿线 地铁S1线上岸站,总建面 9.67万 ㎡ 2017-12-24开盘 浏览,长安天街,均价 80000 元/㎡,2017-12-24开盘 浏览,综合体商铺 品牌地产 交通便利
昌平区-北京市昌平区未来科学城南区英才南二街南侧,3居 建面 117 ㎡ 预计2018年1月初开盘开盘 浏览,融尚未来,均价 58000 元/㎡,预计2018年1月初开盘开盘 浏览,普通住宅 品牌地产 交通便利
房山区-长阳镇文昌东路与阜盛东街交汇处,4居/5居及以上 建面 162~297 ㎡ 2018-03-31开盘 浏览,北京城建国誉府,均价 48500 元/㎡,2018-03-31开盘 浏览,普通住宅 品牌地产
昌平区-北七家京承高速北七家出口向西,别墅项目2017年12月16日开盘 浏览,翡翠公园,均价 77000 元/㎡,,普通住宅 别墅 品牌地产
大兴区-西红门欣荣北街与鸿宏福路交汇东北角,总建面 4万 ㎡ 2015年10月01日开盘 浏览,鸿坤新都荟,均价 50000 元/㎡,2015年10月01日开盘 浏览,社区商铺 品牌地产 交通便利
顺义区-高丽营镇于庄村春晖园温泉度假酒店北侧300米,1居/4居 建面 161~703 ㎡ 2016年03月06日开盘 浏览,春晖园随园,均价 63000 元/㎡,2016年03月06日开盘 浏览,别墅 交通便利
门头沟区-莲花池西路西延线潭柘寺隧道出口北侧,3居/4居 建面 135~320 ㎡ 2018年01月06日开盘 浏览,檀香府,均价 50000 元/㎡,2018年01月06日开盘 浏览,别墅 品牌地产 交通便利
昌平区-北七家镇定泗路88号,2017年05月21日开盘 浏览,北京壹号庄园,均价 68000 元/㎡,,别墅 品牌地产 交通便利
房山区-长阳镇城铁篱笆房站北侧500米,总建面 21万 ㎡ 2018-03-20开盘 浏览,五和万科长阳天地,均价 50000 元/㎡,2018-03-20开盘 浏览,综合体商铺 品牌地产 交通便利
大兴区-大兴西红门镇广平大街,总建面 20.63万 ㎡ 2014年11月30日开盘 浏览,星光视界中心,均价 33000 元/㎡,2014年11月30日开盘 浏览,写字楼 品牌地产 交通便利
延庆县-京藏高速八达岭出口出西行500米,4居 建面 284 ㎡ 2010年05月01日开盘 浏览,清凉盛景,均价 42000 元/㎡,2010年05月01日开盘 浏览,别墅 品牌地产 交通便利
顺义区-机场高速杨林出口西行800米,2016年01月开盘 浏览,恒大丽宫,均价 140000 元/㎡,,别墅 品牌地产 交通便利
平谷区-南街与新平西路交叉口（永安家园北门）,4居 建面 360 ㎡ 2014年09月17日开盘 浏览,中昂邑上原著,均价 25800 元/㎡,2014年09月17日开盘 浏览,别墅 品牌地产 交通便利
海淀区-西北旺镇永丰路与后厂村路东南角200米处,4居/5居及以上 建面 255~522 ㎡ 2016年06月07日开盘 浏览,五矿万科如园,均价 130000 元/㎡,2016年06月07日开盘 浏览,普通住宅 品牌地产
顺义区-顺平路燕京桥M15号线石门站南,总建面 11.5万 ㎡ 2016年12月11日开盘 浏览,中海国际公馆,均价 42000 元/㎡,2016年12月11日开盘 浏览,综合体商铺 品牌地产 交通便利
顺义区-顺兴街11号院望尊园,4居 建面 86~282 ㎡ 2016年09月20日开盘 浏览,北辰墅院1900,均价 43000 元/㎡,2016年09月20日开盘 浏览,别墅 普通住宅 品牌地产 交通便利
朝阳区-东五环七棵树出口沿东坝中街向东1500米,4居/5居及以上 建面 279~304 ㎡ 2017年07月26日开盘 浏览,利锦府,均价 85000 元/㎡,2017年07月26日开盘 浏览,普通住宅 品牌地产 交通便利
朝阳区-朝阳区望京街10号院,总建面 7.2万 ㎡ 2013-08-31开盘 浏览,方恒时代中心,均价 85000 元/㎡,2013-08-31开盘 浏览,综合体商铺 品牌地产 交通便利
朝阳区-红坊路6号,2013-08-06开盘 浏览,江南山水,均价 60000 元/㎡,,别墅 品牌地产 交通便利
大兴区-大兴西红门宏康路与欣宁街交汇处,总建面 60万 ㎡ 2015年11月08日开盘 浏览,兴创国际中心,均价 39000 元/㎡,2015年11月08日开盘 浏览,写字楼 品牌地产 交通便利
顺义区-天竺镇薛大人庄村,2017年06月29日开盘 浏览,誉天下盛寓,均价 66277 元/㎡,,普通住宅 品牌地产 交通便利
朝阳区-东五环七棵树路口向东,2018-04-01开盘 浏览,保利首开天誉,均价 100000 元/㎡,,别墅 品牌地产 交通便利
顺义区-潮白河畔右堤路与华中路交叉口东,2015年11月07日开盘 浏览,华润八号院,均价 50000 元/㎡,,别墅 品牌地产 交通便利
平谷区-平谷区夏各庄镇,4居 建面 223~260 ㎡ 2018年06月09日开盘 浏览,北京岭秀,均价 26000 元/㎡,2018年06月09日开盘 浏览,别墅 品牌地产 交通便利
门头沟区-大峪南路与黑山大街交汇处向北600米处西侧,总建面 18万 ㎡ 2016年03月19日开盘 浏览,金泰丽湾悦栖山,均价 45000 元/㎡,2016年03月19日开盘 浏览,综合体商铺 品牌地产 交通便利
房山区-阎村镇紫码路西行,2017年08月15日开盘 浏览,天恒乐墅,均价 47000 元/㎡,,别墅 品牌地产 交通便利
昌平区-昌平线南邵站向南500米,总建面 3.3万 ㎡ 2017-10-16开盘 浏览,企业墅上区,均价 50000 元/㎡,2017-10-16开盘 浏览,综合体商铺 品牌地产 交通便利
昌平区-昌平线南邵站向南500米,总建面 3.3万 ㎡ 2015-10-01开盘 浏览,企业墅上区,均价 26000 元/㎡,2015-10-01开盘 浏览,写字楼 品牌地产 交通便利
京外旅居-站南大街与富强路交汇处,2居/3居 建面 68~136 ㎡ 住宅2017年05月28日开盘 浏览,香邑澜湾,均价 9500 元/㎡,住宅2017年05月28日开盘 浏览,普通住宅 别墅 品牌地产 交通便利
大兴区-南四环榴乡桥与德贤路交汇处东南角800米处,3居/4居 建面 128~156 ㎡ 2017年04月08日开盘 浏览,首开保利熙悦诚郡,均价 79000 元/㎡,2017年04月08日开盘 浏览,普通住宅 品牌地产 交通便利
环京-廊坊市-安次区龙泽路西龙河北岸,2居/3居 建面 75~128 ㎡ 别墅2018-03-31开盘 浏览,鸿坤理想澜湾,均价 25000 元/㎡,别墅2018-03-31开盘 浏览,普通住宅 别墅 品牌地产 交通便利
朝阳区-京密路与顺黄路交叉路口往西,2017-09-08开盘 浏览,景粼原著,均价 72000 元/㎡,,别墅 普通住宅 品牌地产 交通便利
环京-张家口市-八达岭高速沙城东出口东约3公里,4居 建面 221 ㎡ 2016年09月27日开盘 浏览,京北恒大国际文化城,均价 28000 元/㎡,2016年09月27日开盘 浏览,别墅 品牌地产 交通便利
环京-张家口市-八达岭高速沙城东出口东约3公里,总建面 3.29万 ㎡ 2017年09月04日开盘 浏览,京北恒大国际文化城,均价 10000 元/㎡,2017年09月04日开盘 浏览,社区商铺 品牌地产 交通便利
大兴区-大兴南五环外金星侨东侧金苑路与广阳大街交汇处,总建面 13.76万 ㎡ 2017年10月31日开盘 浏览,文化都汇,均价 31000 元/㎡,2017年10月31日开盘 浏览,写字楼 品牌地产 交通便利
朝阳区-东四环北路七号,4居 建面 403 ㎡ 2016年10月01日开盘 浏览,东山condo,均价 160000 元/㎡,2016年10月01日开盘 浏览,普通住宅 品牌地产 交通便利
大兴区-亦庄经济技术开发区三海子东路南海子公园路北,2017-08-27开盘 浏览,中海墅,均价 82000 元/㎡,,普通住宅 别墅 品牌地产 交通便利
亦庄开发区-亦庄经济开发区博兴西路与秦河三街交叉口（南海子东南1000米）,4居 建面 130~150 ㎡ 顺销开盘 浏览,亦庄金茂府,均价 68000 元/㎡,顺销开盘 浏览,普通住宅 品牌地产 交通便利
环京-承德市-河北省承德市兴隆县站东北400米果品线街北,2居/3居 建面 84~127 ㎡ 2017年10月1日开盘 浏览,兴隆融创城,均价 10000 元/㎡,2017年10月1日开盘 浏览,普通住宅
朝阳区-五环七棵树出口北行300米,3居 建面 230~388 ㎡ 住宅2017年03月29日开盘 浏览,首城珑玺,均价 99800 元/㎡,住宅2017年03月29日开盘 浏览,别墅 普通住宅 品牌地产 交通便利
环京-廊坊市-106国道与工兴路交口向西200米路南,1居/2居/3居 建面 74~123 ㎡ 2017年2月15日开盘 浏览,尚城国际,均价 21500 元/㎡,2017年2月15日开盘 浏览,普通住宅 品牌地产 交通便利
丰台区-西三环康庄东路与丰台东路交汇西南角,4居 建面 251 ㎡ 2015年12月06日开盘 浏览,懋源钓云台,均价 130000 元/㎡,2015年12月06日开盘 浏览,普通住宅 品牌地产 交通便利
环京-廊坊市-京沈高速西集出口香河方向3公里,2居/3居 建面 83~142 ㎡ 2013年10月01日开盘 浏览,三田雍泓青海城,均价 22000 元/㎡,2013年10月01日开盘 浏览,普通住宅 品牌地产 交通便利
通州区-通燕高速通州新城（耿庄桥）出口南200米月亮河河滨路1号,3居 建面 264~325 ㎡ 2016年06月30日开盘 浏览,月亮河七星公馆,均价 73000 元/㎡,2016年06月30日开盘 浏览,普通住宅 品牌地产 交通便利
环京-廊坊市-新开大街（五一公园南侧）,1居/2居/3居 建面 57~119 ㎡ 2017年04月25日开盘 浏览,溪语蓝湾（天琴湾二期）,均价 21000 元/㎡,2017年04月25日开盘 浏览,普通住宅 品牌地产 交通便利
通州区-宋庄镇葛渠村南,3居/5居及以上 建面 441~805 ㎡ 2017年03月18日开盘 浏览,格拉斯小镇,均价 70000 元/㎡,2017年03月18日开盘 浏览,别墅 品牌地产 交通便利
环京-廊坊市-廊坊市开发区金运路2号,2016-07-16开盘 浏览,北京荟,均价 15150 元/㎡,,普通住宅 品牌地产 交通便利
环京-张家口市-官厅水库西侧,4居/5居及以上 建面 371~800 ㎡ 2013年07月10日开盘 浏览,官厅泊爱蓝岛,均价 22000 元/㎡,2013年07月10日开盘 浏览,别墅 品牌地产 交通便利
顺义区-京承高速8号出口路东,5居及以上 建面 470 ㎡ 2016-03-23开盘 浏览,新世界丽樽,均价 55000 元/㎡,2016-03-23开盘 浏览,别墅 品牌地产 交通便利
顺义区-温榆河畔(机场杨林路口右转1公里),4居/5居及以上 建面 680~1098 ㎡ 2016年05月15日开盘 浏览,棕榈滩金棕榈,均价 91000 元/㎡,2016年05月15日开盘 浏览,别墅 品牌地产 交通便利
丰台区-西南三环嘉园路与镇国寺北街交叉口,2017-06-25开盘 浏览,玺萌壹號院,均价 98000 元/㎡,,别墅 品牌地产 交通便利
房山区-北京市房山区良乡镇良常路与京深路交口,2居/3居 建面 75~112 ㎡ 20117年11月中开盘 浏览,旭辉城,均价 39000 元/㎡,20117年11月中开盘 浏览,普通住宅 交通便利 低总价
通州区-延滨河北路向南500米路东,总建面 10.45万 ㎡ 2014-05-15开盘 浏览,长安运河,均价 60000 元/㎡,2014-05-15开盘 浏览,写字楼 品牌地产 交通便利
大兴区-大兴区地铁4号线生物医药基地站C口向南150米,总建面 6.34万 ㎡ 2017年04月19日开盘 浏览,金科果冻,均价 55000 元/㎡,2017年04月19日开盘 浏览,综合体商铺 品牌地产 交通便利
大兴区-大兴区地铁4号线生物医药基地站C口向南150米,总建面 6.34万 ㎡ 2017年04月19日开盘 浏览,金科果冻,均价 37500 元/㎡,2017年04月19日开盘 浏览,写字楼 品牌地产 交通便利
昌平区-沙河站南600米 丽春湖北岸,2018-07-29开盘 浏览,中海丽春湖墅,均价 40000 元/㎡,,别墅 普通住宅 品牌地产 交通便利
海淀区-西三旗建材中路新都汇路交汇处,总建面 5.93万 ㎡ 2012年09月23日开盘 浏览,金隅翡丽一期,均价 40000 元/㎡,2012年09月23日开盘 浏览,综合体商铺 品牌地产 交通便利
房山区-房山区苏庄大街和长虹路交叉口西北角,2018年07月01日开盘 浏览,中海京西里,均价 40837 元/㎡,,普通住宅 品牌地产 交通便利
顺义区-顺义区南法信镇顺平路与南焦路交汇处东北角50米处,总建面 9.34万 ㎡ 2017年03月01日开盘 浏览,宏远临空总部港,均价 24000 元/㎡,2017年03月01日开盘 浏览,综合体商铺 品牌地产 交通便利
顺义区-高丽营镇于庄机场北线高速与高白路交汇处向北1公里路西,2015-10-18开盘 浏览,万科观承别墅,均价 90000 元/㎡,,别墅 品牌地产
昌平区-北京市昌平区沙河,4居/5居及以上 建面 379~800 ㎡ 2017年01月21日开盘 浏览,北科建泰禾丽春湖院子,均价 60000 元/㎡,2017年01月21日开盘 浏览,别墅 品牌地产 交通便利
顺义区-火沙路与高白路交汇处向南50米路东,2011年05月18日开盘 浏览,清锦源,均价 114000 元/㎡,,别墅 品牌地产 交通便利
门头沟区-门头沟永定镇冯西园长安一号,2016年05月08日开盘 浏览,长安壹号,均价 110000 元/㎡,,别墅 品牌地产 交通便利
门头沟区-门头沟路9号,总建面 14.7万 ㎡ 2016年05月22日开盘 浏览,中昂时代广场,均价 100000 元/㎡,2016年05月22日开盘 浏览,综合体商铺 品牌地产 交通便利
房山区-东环路与文昌东路交汇处,总建面 20.92万 ㎡ 2017-12-31开盘 浏览,金隅糖街,均价 35000 元/㎡,2017-12-31开盘 浏览,写字楼 品牌地产 交通便利
